year,month,A_Hong Kong Island,A_Kowloon,A_New Territories,B_Hong Kong Island,B_Kowloon,B_New Territories,C_Hong Kong Island,C_Kowloon,C_New Territories,D_Hong Kong Island,D_Kowloon,D_New Territories,E_Hong Kong Island,E_Kowloon,E_New Territories
1999.0,1.0,190.0,171.0,133.0,199.0,165.0,118.0,249.0,187.0,150.0,284.0,198.0,185.0,301.0,185.0,191.0
1999.0,2.0,196.0,173.0,133.0,204.0,165.0,114.0,239.0,177.0,144.0,268.0,196.0,173.0,311.0,213.0,152.0
1999.0,3.0,199.0,170.0,133.0,197.0,160.0,117.0,247.0,177.0,142.0,262.0,174.0,186.0,301.0,194.0,190.0
1999.0,4.0,191.0,171.0,135.0,200.0,156.0,116.0,256.0,182.0,134.0,279.0,172.0,170.0,313.0,221.0,172.0
1999.0,5.0,191.0,175.0,127.0,188.0,155.0,113.0,233.0,175.0,133.0,279.0,180.0,180.0,289.0,168.0,162.0
1999.0,6.0,193.0,176.0,129.0,197.0,153.0,113.0,253.0,186.0,146.0,272.0,210.0,164.0,306.0,246.0,171.0
1999.0,7.0,193.0,177.0,133.0,200.0,154.0,116.0,255.0,181.0,133.0,273.0,167.0,162.0,322.0,142.0,177.0
1999.0,8.0,198.0,172.0,132.0,200.0,155.0,114.0,251.0,186.0,139.0,275.0,196.0,184.0,308.0,159.0,160.0
1999.0,9.0,194.0,176.0,131.0,203.0,156.0,115.0,253.0,177.0,136.0,271.0,198.0,170.0,310.0,153.0,189.0
1999.0,10.0,194.0,177.0,135.0,196.0,159.0,125.0,257.0,196.0,145.0,274.0,191.0,203.0,294.0,188.0,198.0
1999.0,11.0,184.0,176.0,141.0,189.0,153.0,119.0,236.0,196.0,136.0,264.0,195.0,156.0,309.0,199.0,170.0
1999.0,12.0,183.0,168.0,137.0,183.0,158.0,121.0,251.0,177.0,146.0,277.0,158.0,180.0,319.0,173.0,169.0
2000.0,1.0,187.0,166.0,132.0,188.0,149.0,116.0,244.0,166.0,140.0,264.0,183.0,171.0,321.0,180.0,203.0
2000.0,2.0,185.0,169.0,134.0,188.0,150.0,115.0,242.0,161.0,137.0,269.0,219.0,188.0,302.0,251.0,166.0
2000.0,3.0,191.0,172.0,133.0,192.0,154.0,118.0,249.0,180.0,137.0,277.0,183.0,178.0,308.0,182.0,190.0
2000.0,4.0,194.0,167.0,128.0,195.0,146.0,118.0,258.0,159.0,147.0,270.0,175.0,174.0,296.0,180.0,176.0
2000.0,5.0,192.0,167.0,130.0,200.0,146.0,115.0,244.0,177.0,139.0,281.0,198.0,170.0,317.0,192.0,162.0
2000.0,6.0,193.0,164.0,126.0,198.0,145.0,114.0,248.0,168.0,143.0,277.0,176.0,182.0,299.0,179.0,150.0
2000.0,7.0,191.0,164.0,126.0,193.0,149.0,114.0,253.0,174.0,140.0,278.0,204.0,188.0,320.0,203.0,173.0
2000.0,8.0,186.0,164.0,125.0,197.0,145.0,116.0,248.0,155.0,142.0,278.0,195.0,191.0,326.0,184.0,168.0
2000.0,9.0,196.0,160.0,132.0,205.0,149.0,118.0,264.0,181.0,150.0,287.0,181.0,180.0,340.0,197.0,181.0
2000.0,10.0,193.0,163.0,132.0,205.0,149.0,120.0,250.0,183.0,150.0,268.0,175.0,184.0,330.0,203.0,163.0
2000.0,11.0,194.0,168.0,128.0,197.0,157.0,120.0,262.0,161.0,150.0,280.0,190.0,203.0,319.0,182.0,184.0
2000.0,12.0,193.0,162.0,131.0,209.0,155.0,120.0,266.0,205.0,145.0,284.0,247.0,205.0,309.0,255.0,178.0
2001.0,1.0,188.0,161.0,126.0,196.0,164.0,120.0,268.0,224.0,147.0,287.0,258.0,186.0,338.0,251.0,178.0
2001.0,2.0,195.0,160.0,127.0,199.0,152.0,115.0,259.0,209.0,162.0,273.0,303.0,191.0,324.0,221.0,187.0
2001.0,3.0,196.0,158.0,124.0,194.0,147.0,115.0,256.0,190.0,141.0,285.0,243.0,182.0,306.0,249.0,210.0
2001.0,4.0,191.0,155.0,123.0,195.0,147.0,110.0,253.0,172.0,136.0,281.0,242.0,172.0,317.0,194.0,188.0
2001.0,5.0,191.0,157.0,121.0,188.0,147.0,113.0,258.0,190.0,140.0,288.0,217.0,193.0,330.0,200.0,194.0
2001.0,6.0,187.0,152.0,119.0,192.0,138.0,112.0,254.0,176.0,140.0,296.0,238.0,183.0,327.0,180.0,153.0
2001.0,7.0,184.0,150.0,117.0,192.0,148.0,110.0,253.0,177.0,137.0,303.0,232.0,173.0,343.0,206.0,197.0
2001.0,8.0,182.0,149.0,121.0,194.0,142.0,108.0,256.0,183.0,140.0,292.0,223.0,181.0,336.0,151.0,187.0
2001.0,9.0,186.0,153.0,118.0,194.0,146.0,113.0,254.0,187.0,138.0,279.0,218.0,157.0,340.0,185.0,184.0
2001.0,10.0,185.0,150.0,119.0,191.0,144.0,117.0,249.0,176.0,147.0,280.0,211.0,153.0,329.0,227.0,220.0
2001.0,11.0,180.0,146.0,115.0,183.0,146.0,110.0,249.0,164.0,142.0,251.0,207.0,176.0,322.0,152.0,188.0
2001.0,12.0,175.0,144.0,115.0,176.0,136.0,108.0,238.0,177.0,135.0,258.0,183.0,174.0,317.0,171.0,151.0
2002.0,1.0,177.0,147.0,112.0,180.0,134.0,107.0,244.0,166.0,136.0,274.0,188.0,178.0,324.0,157.0,173.0
2002.0,2.0,176.0,135.0,106.0,177.0,136.0,99.0,236.0,193.0,139.0,253.0,190.0,167.0,301.0,275.0,187.0
2002.0,3.0,173.0,137.0,106.0,170.0,135.0,104.0,251.0,172.0,123.0,260.0,211.0,164.0,306.0,184.0,168.0
